passenger_ID2,flight_ID,flight_time,checkin_time
183348666.0,CZ383,2016/9/21 19:00:00,2016/9/21 11:12:00
177479999.0,CA4547,2016/9/12 07:20:00,2016/9/12 06:05:00
183301766.0,KE866,,2016/9/21 10:08:00
182803786.0,CZ323,2016/9/20 21:30:00,2016/9/20 14:24:00
177485543.0,MU2552,2016/9/12 07:45:00,2016/9/12 06:12:00
178109362.0,CZ8156,2016/9/13 07:40:00,2016/9/13 06:09:00
185404762.0,CZ8671,2016/9/24 11:40:00,2016/9/24 10:39:00
178866566.0,CA1330,2016/9/14 10:30:00,2016/9/14 09:05:00
177059229.0,KE866,,2016/9/11 11:31:00
182004736.0,MU5742,2016/9/21 16:05:00,2016/9/21 11:16:00
183946501.0,CZ3061,2016/9/22 10:55:00,2016/9/22 09:06:00
185943594.0,CZ3217,2016/9/25 14:25:00,2016/9/25 07:41:00
184215140.0,CZ387,2016/9/22 16:50:00,2016/9/22 15:24:00
182572597.0,CZ3763,2016/9/20 10:35:00,2016/9/20 08:46:00
182166415.0,CZ3503,2016/9/19 16:00:00,2016/9/19 15:12:00
182860353.0,MF8348,2016/9/20 18:40:00,2016/9/20 15:41:00
178289829.0,HU7141,2016/9/13 11:45:00,2016/9/13 10:40:00
183216765.0,MF8306,2016/9/21 09:40:00,2016/9/21 08:08:00
185447000.0,CZ3525,2016/9/24 13:00:00,2016/9/24 11:38:00
179943971.0,MU5302,2016/9/16 08:30:00,2016/9/16 07:15:00
