flight_ID,scheduled_flt_time,actual_flt_time,BGATE_ID
CI8522,2016/9/22 3:30:00,2016/9/22 3:46:00,A103
MU3106,2016/9/24 6:45:00,2016/9/24 7:35:00,
CZ3122,2016/9/24 12:55:00,2016/9/24 12:37:00,
CZ6324,2016/9/11 9:05:00,2016/9/11 9:40:00,B07
9C8931,2016/9/23 12:00:00,2016/9/23 11:51:00,
HU7838,2016/9/15 3:15:00,2016/9/15 5:46:00,B231
CZ3215,2016/9/17 12:50:00,2016/9/17 12:59:00,B03
OQ2318,2016/9/14 7:00:00,2016/9/14 8:01:00,B09
CZ3702,2016/9/24 6:25:00,2016/9/24 6:11:00,
MU9308,2016/9/16 4:35:00,2016/9/16 5:13:00,B14
FD530,2016/9/25 15:10:00,,
CZ6302,2016/9/24 12:10:00,2016/9/24 12:14:00,B202
MF9013,2016/9/24 12:10:00,2016/9/24 12:32:00,A114
CZ332,2016/9/21 1:30:00,2016/9/21 1:28:00,
NH8490,2016/9/13 18:30:00,2016/9/13 19:05:00,
KE5830,2016/9/17 8:20:00,2016/9/17 8:26:00,A116
FM9317,2016/9/18 12:55:00,2016/9/18 12:32:00,
KL4326,2016/9/18 23:35:00,2016/9/18 23:56:00,B04
OQ2317,2016/9/24 6:00:00,2016/9/24 6:10:00,
ZH4307,2016/9/19 3:45:00,2016/9/19 3:45:00,
