passenger_ID,security_time,flight_ID
CZ6732*017*21SEP16,2016-09-21 13:12:20,CZ6732
CA1382*043*16SEP16,2016-09-16 12:31:00,CA1382
CZ3399*016*11SEP16,2016-09-11 5:47:47,CZ3399
NS3204*053*24SEP16,2016-09-24 10:53:58,NS3204
CZ6262*034*14SEP16,2016-09-14 15:14:30,CZ6262
CZ3109*219*21SEP16,2016-09-21 13:55:27,CZ3109
H_SQ853*014*21SEP16,2016-09-21 23:06:07,SQ853
CA1310*239*14SEP16,2016-09-14 7:29:54,CA1310
CZ3637*016*14SEP16,2016-09-14 12:04:24,CZ3637
CZ6742*125*18SEP16,2016-09-18 8:38:31,CZ6742
CZ3107*094*13SEP16,2016-09-13 20:15:15,CZ3107
MU2808*082*14SEP16,2016-09-14 15:53:11,MU2808
MF8358*060*13SEP16,2016-09-13 21:18:10,MF8358
H_SU221*232*24SEP16,2016-09-24 9:28:30,SU221
H_CI522*269*24SEP16,2016-09-24 16:10:31,CI522
H_3U8793*004*22SEP16,2016-09-22 8:32:50,3U8793
HU7806*007*20SEP16,2016-09-20 11:41:01,HU7806
CZ6316*001*17SEP16,2016-09-17 9:01:37,CZ6316
CZ3483*031*14SEP16,2016-09-14 16:32:07,CZ3483
FM9534*116*14SEP16,2016-09-14 6:44:15,FM9534
